Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
49,=,"Tyler, The Creator - See You Again (w/ Kali Uchis)",751,13,,2041324,"+56,642",14523701,"-111,075",1482866078
50,=,KAROL G - Si Antes Te Hubiera Conocido,277,4,,2027167,"+67,917",15367266,"-250,399",1074776303
51,+11,WizTheMc - Show Me Love (w/ bees & honey),20,51,,2023229,"+249,893",14030873,"+58,395",34189209
52,+2,Doechii - DENIAL IS A RIVER,81,16,,2001697,"+163,252",15752853,"-600,029",205275599
53,+18,Tate McRae - Revolving door,32,18,,1987084,"+333,761",14329335,"-223,687",83294547
54,-1,Chappell Roan - The Giver,11,9,,1971012,"+126,674",17092206,"-1,214,685",32533377
55,+1,The Marías - No One Noticed,136,55,,1965545,"+140,902",12641422,"+113,692",229883216
56,+2,Sabrina Carpenter - Please Please Please,291,1,(x19),1920204,"+129,311",13709883,"-66,180",1315734582
57,-9,Earl Agustin - Tibok,12,42,,1907775,"-79,793",14589673,"-308,699",23680171
58,+8,Arctic Monkeys - 505,1177,40,,1906944,"+162,893",13041132,"+92,490",1644039174
59,-2,Neton Vega - Morena (w/ Peso Pluma),38,57,,1905264,"+84,577",13745821,"+25,892",68023960
60,+7,Beéle - Mi Refe (w/ Ovy On The Drums),82,53,,1901618,"+187,514",13889542,"-68,755",156263109
61,-1,Teddy Swims - Bad Dreams,142,41,,1896940,"+117,513",13568548,"+92,557",246528738
62,-7,The Police - Every Breath You Take,1257,34,,1895345,"+64,453",13732144,"-24,089",1497823151
63,-2,Hozier - Too Sweet,368,2,(x10),1863289,"+87,017",13344874,"+3,304",1368759085
64,-12,j-hope - Sweet Dreams (w/ Miguel),18,24,,1862791,"-51,947",13883097,+715,38928024
65,-6,Neton Vega - Loco,88,14,,1845286,"+64,695",13814299,"-317,133",249293171
66,+4,JENNIE - ExtraL (w/ Doechii),32,18,,1840463,"+164,377",13744215,"-346,641",79896030
67,+5,Ariana Grande - we can't be friends (wait for your love),382,1,(x13),1834931,"+181,958",12951210,"-31,302",1289351330
68,-4,Coldplay - Viva La Vida,969,27,,1807120,"+46,309",12949342,"-98,335",1502139256
69,-6,Bruno Mars - Locked out of Heaven,1243,21,,1802956,"+33,904",13135626,"-49,768",1513887291
70,-5,Gabito Ballesteros - 7 Dias (w/ Tito Double P),53,15,,1792023,"+31,371",12883886,"-95,937",129629580
71,+5,Sabrina Carpenter - Busy Woman,39,11,,1782397,"+167,373",12957347,"-74,218",88883516
72,-4,"Tyler, The Creator - Like Him (w/ Lola Young)",148,20,,1761533,"+47,436",12494548,"-69,493",348251279
73,+12,d4vd - Feel It,55,65,,1743553,"+222,634",10907496,"+414,630",84583373
74,=,Jung Kook - Seven (w/ Latto),619,1,(x71),1732431,"+100,046",11758296,"+28,579",2034064599
75,+11,"Gracie Abrams - I Love You, I'm Sorry",238,15,,1710728,"+193,586",11535421,"+74,312",535398388
76,-3,Imogen Heap - Headlock,81,63,,1709588,"+75,136",11669660,"+72,870",128062681
77,-2,Fuerza Regida - Por Esos Ojos,41,34,,1687031,"+60,216",11780777,"+74,501",81576562
78,+3,Don Toliver - No Pole,132,58,,1686379,"+133,241",11262381,"+79,496",220098900
79,+37,Selena Gomez - Ojos Tristes (w/ benny blanco),3,79,,1686070,"+360,309",4338723,"+1,686,070",4338723
80,+28,sombr - back to friends,7,80,,1670395,"+296,095",9938243,"+1,670,395",9938243
81,+3,Ed Sheeran - Perfect,2714,3,(x1),1624634,"+100,449",11494328,"-12,541",3030759224
82,-3,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),130,13,,1623829,"+64,298",12207339,"-54,191",362095504
83,+9,Cigarettes After Sex - Apocalypse,957,52,,1623624,"+156,314",10684823,"+74,443",1318323172
84,-7,FloyyMenor - Gata Only (w/ Cris Mj),407,2,(x1),1615266,"+44,608",11702442,"+101,744",1472623409
