Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
191,-22,BigXthaPlug - All The Way (w/ Bailey Zimmerman),12,69,,1209047,"-63,342",8984033,"-58,154",16118547
192,-2,Nirvana - Come As You Are - Remastered,2,190,,1207384,"+13,949",2400819,"+1,207,384",2400819
193,-1,Kendrick Lamar - HUMBLE.,786,1,(x7),1203137,"+13,703",7331087,"-53,799",1155531846
194,-10,"A$AP Rocky - I Smoked Away My Brain (I'm God x Demons Mashup) (w/ Imogen Heap, Clams Casino)",29,148,,1201686,"-6,014",4846412,"+1,201,686",37592620
195,+5,"Chuyin - Pika Pika (w/ Fuerza Regida, Jorsshh, Calle 24)",70,71,,1200617,"+25,552",7413546,"-63,468",104569004
196,-15,Twenty One Pilots - Stressed Out,885,5,,1194999,"-32,332",8633264,"+1,194,999",886545536
197,-24,Frank Ocean - Pink + White,700,52,,1193342,"-66,668",8849291,"-127,797",1011474000
198,RE,French Montana - Unforgettable (w/ Swae Lee),854,3,(x8),1191362,,4713138,"+1,191,362",1293871647
199,RE,Alex Warren - Carry You Home,77,85,,1190869,,3720512,"-258,731",104665525
200,-1,Myles Smith - Stargazing,283,14,,1188244,"+7,862",7415478,"-46,529",659206435
