Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
165,RE,Shakira,Hips Don't Lie,Wyclef Jean,177,63,,1294463,,1294463,"+1,294,463",240083178
166,-2,The Killers,Mr. Brightside,,1330,59,,1292982,"+46,092",8988976,"+4,358",1100590807
167,+5,Fleetwood Mac,Dreams - 2004 Remaster,,652,17,,1291879,"+61,134",9162464,"-72,681",714929701
168,+14,Cazzu,Con otra,,8,116,,1289806,"+93,471",7951769,"+1,289,806",10654395
169,-24,One Direction,Night Changes,,1084,6,,1283937,"-28,520",10057110,"-150,841",1339685526
170,-26,Olivia Rodrigo,traitor,,572,7,,1282062,"-30,854",9409693,"-105,410",1017841992
171,-2,Harry Styles,As It Was,,1088,1,81,1280855,"+44,646",8971763,+797,3750889150
172,-18,j-hope,Sweet Dreams,Miguel,26,24,,1278594,"+5,564",9984303,"-490,241",50681162
173,+13,Ariana Grande,intro (end of the world),,114,14,,1273288,"+81,260",6664693,"+1,273,288",226288946
174,-4,Linkin Park,The Emptiness Machine,,187,5,,1268220,"+36,412",6390645,"+1,268,220",456598167
175,-16,Kendrick Lamar,squabble up,,131,3,1,1267306,"+13,904",9223116,"-192,292",320536163
176,+5,TOTO,Africa,,583,113,,1266874,"+66,280",8771345,"+43,393",451109169
177,-27,Sabrina Carpenter,Juno,,194,22,,1266760,"-16,359",8930384,"-40,189",323202086
178,-2,Nirvana,Smells Like Teen Spirit - Remastered,,377,98,,1266541,"+46,762",8776884,"+12,087",351030163
179,-31,TV Girl,Lovers Rock,,581,92,,1264239,"-21,962",7504373,"+2,302",768437608
180,-18,Frank Ocean,Pink + White,,688,52,,1259646,"+9,550",8737045,"-33,982",996299931
181,-1,Eminem,Without Me,,1365,29,,1251151,"+50,342",8888017,"-59,884",1698207931
182,-8,Coldplay,Sparks,,229,82,,1246521,"+18,696",4890740,"+43,055",290663191
